EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11,Question12
RM302,18,18-25,No,Travel_Rarely,812,Sales,10,3,Medical,1,411,4,Female,69,2,1,Sales Representative,3,Single,1200,Upto 5k,9724,1,Y,No,12,3,1,80,0,0,2,3,0,0,0,0,,No,10,10,"Collaboration here is effective, due to lack of proper tools",Very comfortable workspace,"Seldom supported, very rigid",Doubtful we'll meet all objectives,"Not part of the team, very isolated",Good collaboration but can improve,Commitment is frequently questionable,
RM728,18,18-25,No,Non-Travel,287,Research & Development,5,2,Life Sciences,1,1012,2,Male,73,3,1,Research Scientist,4,Single,1051,Upto 5k,13493,1,Y,No,15,3,4,80,0,0,2,3,0,0,0,0,,Yes,1,10,"Collaboration here is effective, which makes work enjoyable","Highly uncomfortable, needs total revamp","Moderate support, but could improve",Doubtful we'll meet all objectives,Part of a team but not integral,We collaborate efficiently,"No commitment to quality, very frustrating",
RM973,18,18-25,No,Non-Travel,1124,Research & Development,1,3,Life Sciences,1,1368,4,Female,97,3,1,Laboratory Technician,4,Single,1611,Upto 5k,19305,1,Y,No,15,3,3,80,0,0,5,4,0,0,0,0,,No,8,1,,"Highly uncomfortable, needs total revamp",Support varies by department,Pessimistic about goal achievement,Somewhat disconnected from the team,"Poor collaboration, often misaligned","No commitment to quality, very frustrating",
RM1312,18,18-25,No,Non-Travel,1431,Research & Development,14,3,Medical,1,1839,2,Female,33,3,1,Research Scientist,3,Single,1514,Upto 5k,8018,1,Y,No,16,3,3,80,0,0,4,1,0,0,0,0,"I am very pleased, because of the supportive team",No,10,5,"We struggle with collaboration, but it can be chaotic at times",Very comfortable workspace,"Moderate support, but could improve",Pessimistic about goal achievement,"Not part of the team, very isolated","Poor collaboration, often misaligned","No commitment to quality, very frustrating",
RM150,19,18-25,No,Travel_Rarely,1181,Research & Development,3,1,Medical,1,201,2,Female,79,3,1,Laboratory Technician,2,Single,1483,Upto 5k,16102,1,Y,No,14,3,4,80,0,1,3,3,1,0,0,0,"I feel somewhat unsatisfied, as the work-life balance could be better",No,7,4,,"Highly uncomfortable, needs total revamp","Not supported, no flexibility",Mixed feelings about goal attainability,Somewhat disconnected from the team,"Terrible at collaborating, needs overhaul",Everyone is committed to quality,
RM854,19,18-25,No,Travel_Rarely,645,Research & Development,9,2,Life Sciences,1,1193,3,Male,54,3,1,Research Scientist,1,Single,2552,Upto 5k,7172,1,Y,No,25,4,3,80,0,1,4,3,1,1,0,0,"I am very pleased, as the work-life balance could be better",Yes,7,8,"Collaboration here is effective, which makes work enjoyable","Highly uncomfortable, needs total revamp",Support varies by department,Doubtful we'll meet all objectives,"Not part of the team, very isolated","Terrible at collaborating, needs overhaul",Commitment is frequently questionable,
RM910,19,18-25,No,Travel_Rarely,265,Research & Development,25,3,Life Sciences,1,1269,2,Female,57,4,1,Research Scientist,4,Single,2994,Upto 5k,21221,1,Y,Yes,12,3,4,80,0,1,2,3,1,0,0,1,"I am generally satisfied, as the work-life balance could be better",No,3,9,"Collaboration here is effective, due to lack of proper tools",Generally comfortable but improvements needed,"Not supported, no flexibility",Pessimistic about goal achievement,Part of a team but not integral,We collaborate efficiently,Most are committed but some aren't,
RM488,20,18-25,No,Travel_Rarely,959,Research & Development,1,3,Life Sciences,1,657,4,Female,83,2,1,Research Scientist,2,Single,2836,Upto 5k,11757,1,Y,No,13,3,4,80,0,1,0,4,1,0,0,0,"I feel somewhat unsatisfied, because of the supportive team",Yes,6,3,"Collaboration here is effective, which makes work enjoyable","Highly uncomfortable, needs total revamp",Highly supported for remote work,Mixed feelings about goal attainability,Part of a team but not integral,"Terrible at collaborating, needs overhaul",Everyone is committed to quality,
RM857,20,18-25,No,Travel_Rarely,805,Research & Development,3,3,Life Sciences,1,1198,1,Male,87,2,1,Laboratory Technician,3,Single,3033,Upto 5k,12828,1,Y,No,12,3,1,80,0,2,2,2,2,2,1,2,"I am very pleased, because of the supportive team",No,10,1,,"Average comfort, ergonomic issues",Support varies by department,Doubtful we'll meet all objectives,Often feel left out of the team,"Terrible at collaborating, needs overhaul",Lack of commitment is concerning,
RM877,20,18-25,No,Travel_Rarely,654,Sales,21,3,Marketing,1,1226,3,Male,43,4,1,Sales Representative,4,Single,2678,Upto 5k,5050,1,Y,No,17,3,4,80,0,2,2,3,2,1,2,2,"I feel somewhat unsatisfied, due to the challenging projects",Yes,2,10,,Generally comfortable but improvements needed,"Moderate support, but could improve",Mixed feelings about goal attainability,Part of a team but not integral,"Terrible at collaborating, needs overhaul","No commitment to quality, very frustrating",
